"Machine no.";"Cycle counter";"Time";"Step";"Phase";"Message no.";"Message";"T1 °C";"T2 °C";"P1 mbar a";"P2 mbar a";"P3 mbar a";"P4 mbar a";"Zone no."
1;652;"11:05:41";"";"1. Vacuum pulse";;"";56.0;57.0;514;522;3185;4139;1
1;652;"11:05:51";"";"1. Vacuum pulse";;"";57.0;57.0;428;437;3184;4137;1
1;652;"11:06:01";"";"1. Vacuum pulse";;"";57.0;58.0;356;364;3187;4146;1
1;652;"11:06:12";"";"1. Vacuum pulse";;"";57.0;58.0;300;307;3191;4141;1
1;652;"11:06:22";"";"1. Vacuum pulse";;"";58.0;59.0;252;259;3196;4179;1
1;652;"11:06:32";"";"1. Vacuum pulse";;"";58.0;59.0;211;218;3242;4192;1
1;652;"11:06:42";"";"1. Vacuum pulse";;"";59.0;60.0;181;189;3174;4141;1
1;652;"11:06:52";"";"1. Vacuum pulse";;"";59.0;60.0;157;162;3179;4146;1
1;652;"11:07:02";"";"1. Vacuum pulse";;"";60.0;61.0;136;143;3187;4142;1
1;652;"11:07:12";"";"1. Vacuum pulse";;"";60.0;61.0;120;127;3201;4146;1
1;652;"11:07:23";"";"1. Vacuum pulse";;"";61.0;62.0;106;113;3173;4144;1
1;652;"11:07:33";"";"1. Vacuum pulse";;"";61.0;63.0;95;103;3179;4142;1
1;652;"11:07:43";"";"1. Vacuum pulse";;"";62.0;64.0;88;96;3190;4152;1
1;652;"11:07:53";"";"1. Vacuum pulse";;"";63.0;65.0;79;88;3192;4043;1
1;652;"11:08:03";"";"1. Vacuum pulse";;"";63.0;65.0;74;81;3179;4150;1
1;652;"11:08:11";"";"1. Steam pulse";;"";64.0;66.0;70;78;3199;4150;1
1;652;"11:08:21";"";"1. Steam pulse";;"";62.0;65.0;206;209;3223;3730;1
1;652;"11:08:31";"";"1. Steam pulse";;"";61.0;63.0;351;353;3192;3723;1
1;652;"11:08:42";"";"1. Steam pulse";;"";71.0;64.0;502;501;3179;3754;1
1;652;"11:08:52";"";"1. Steam pulse";;"";83.0;78.0;668;664;3174;3701;1
1;652;"11:09:02";"";"1. Steam pulse";;"";90.0;86.0;818;819;3230;3712;1
1;652;"11:09:12";"";"1. Steam pulse";;"";96.0;92.0;980;982;3209;3842;1
1;652;"11:09:22";"";"1. Steam pulse";;"";100.0;97.0;1125;1127;3190;3771;1
1;652;"11:09:32";"";"1. Steam pulse";;"";105.0;105.0;1287;1287;3176;4190;1
1;652;"11:09:42";"";"1. Steam pulse";;"";109.0;109.0;1432;1428;3229;3650;1
1;652;"11:09:53";"";"1. Steam pulse";;"";112.0;112.0;1592;1593;3176;4289;1
1;652;"11:10:03";"";"1. Steam pulse";;"";115.0;115.0;1741;1737;3216;3723;1
1;652;"11:10:08";"";"2. Vacuum pulse";;"";116.0;116.0;1816;1812;3176;4001;1
1;652;"11:10:18";"";"2. Vacuum pulse";;"";114.0;114.0;1637;1643;3192;4164;1
1;652;"11:13:30";"";"2. Vacuum pulse";;"";86.0;86.0;238;244;3181;4153;1
1;652;"11:13:40";"";"2. Vacuum pulse";;"";85.0;86.0;220;227;3194;4150;1
1;652;"11:13:50";"";"2. Vacuum pulse";;"";85.0;85.0;202;211;3173;4194;1
1;652;"11:14:00";"";"2. Vacuum pulse";;"";85.0;85.0;188;196;3184;4150;1
1;652;"11:14:10";"";"2. Vacuum pulse";;"";85.0;85.0;176;183;3223;4188;1
1;652;"11:14:20";"";"2. Vacuum pulse";;"";84.0;85.0;165;172;3177;4150;1
1;652;"11:14:31";"";"2. Vacuum pulse";;"";84.0;85.0;155;162;3190;4146;1
1;652;"11:14:41";"";"2. Vacuum pulse";;"";84.0;84.0;145;153;3172;4080;1
1;652;"11:14:51";"";"2. Vacuum pulse";;"";84.0;84.0;137;146;3183;4144;1
1;652;"11:15:01";"";"2. Vacuum pulse";;"";84.0;84.0;130;138;3214;4161;1
1;652;"11:15:11";"";"2. Vacuum pulse";;"";84.0;84.0;124;132;3179;4144;1
1;652;"11:15:22";"";"2. Vacuum pulse";;"";84.0;84.0;117;126;3188;4142;1
1;652;"11:15:32";"";"2. Vacuum pulse";;"";83.0;84.0;112;119;3172;4141;1
1;652;"11:15:43";"";"2. Vacuum pulse";;"";83.0;84.0;106;113;3183;4141;1
